case	collective	size	config	channels	visible_devices	exit_status	log	csv
channels_r1_allreduce_64M_tree_ll_ch1	allreduce	64M	tree_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_allreduce_64M_tree_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_allreduce_64M_tree_ll_ch1.csv
channels_r2_allreduce_64M_tree_ll_ch1	allreduce	64M	tree_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_allreduce_64M_tree_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_allreduce_64M_tree_ll_ch1.csv
channels_r3_allreduce_64M_tree_ll_ch1	allreduce	64M	tree_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_allreduce_64M_tree_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_allreduce_64M_tree_ll_ch1.csv
channels_r1_allreduce_64M_tree_ll_ch2	allreduce	64M	tree_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_allreduce_64M_tree_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_allreduce_64M_tree_ll_ch2.csv
channels_r2_allreduce_64M_tree_ll_ch2	allreduce	64M	tree_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_allreduce_64M_tree_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_allreduce_64M_tree_ll_ch2.csv
channels_r3_allreduce_64M_tree_ll_ch2	allreduce	64M	tree_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_allreduce_64M_tree_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_allreduce_64M_tree_ll_ch2.csv
channels_r1_allreduce_64M_tree_ll_ch4	allreduce	64M	tree_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_allreduce_64M_tree_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_allreduce_64M_tree_ll_ch4.csv
channels_r2_allreduce_64M_tree_ll_ch4	allreduce	64M	tree_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_allreduce_64M_tree_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_allreduce_64M_tree_ll_ch4.csv
channels_r3_allreduce_64M_tree_ll_ch4	allreduce	64M	tree_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_allreduce_64M_tree_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_allreduce_64M_tree_ll_ch4.csv
channels_r1_allreduce_64M_tree_ll_ch8	allreduce	64M	tree_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_allreduce_64M_tree_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_allreduce_64M_tree_ll_ch8.csv
channels_r2_allreduce_64M_tree_ll_ch8	allreduce	64M	tree_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_allreduce_64M_tree_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_allreduce_64M_tree_ll_ch8.csv
channels_r3_allreduce_64M_tree_ll_ch8	allreduce	64M	tree_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_allreduce_64M_tree_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_allreduce_64M_tree_ll_ch8.csv
channels_r1_reducescatter_1M_ring_simple_ch1	reducescatter	1M	ring_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_ring_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_ring_simple_ch1.csv
channels_r2_reducescatter_1M_ring_simple_ch1	reducescatter	1M	ring_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_ring_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_ring_simple_ch1.csv
channels_r3_reducescatter_1M_ring_simple_ch1	reducescatter	1M	ring_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_ring_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_ring_simple_ch1.csv
channels_r1_reducescatter_1M_ring_simple_ch2	reducescatter	1M	ring_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_ring_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_ring_simple_ch2.csv
channels_r2_reducescatter_1M_ring_simple_ch2	reducescatter	1M	ring_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_ring_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_ring_simple_ch2.csv
channels_r3_reducescatter_1M_ring_simple_ch2	reducescatter	1M	ring_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_ring_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_ring_simple_ch2.csv
channels_r1_reducescatter_1M_ring_simple_ch4	reducescatter	1M	ring_simple	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_ring_simple_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_ring_simple_ch4.csv
channels_r2_reducescatter_1M_ring_simple_ch4	reducescatter	1M	ring_simple	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_ring_simple_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_ring_simple_ch4.csv
channels_r3_reducescatter_1M_ring_simple_ch4	reducescatter	1M	ring_simple	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_ring_simple_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_ring_simple_ch4.csv
channels_r1_reducescatter_1M_ring_simple_ch8	reducescatter	1M	ring_simple	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_ring_simple_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_ring_simple_ch8.csv
channels_r2_reducescatter_1M_ring_simple_ch8	reducescatter	1M	ring_simple	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_ring_simple_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_ring_simple_ch8.csv
channels_r3_reducescatter_1M_ring_simple_ch8	reducescatter	1M	ring_simple	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_ring_simple_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_ring_simple_ch8.csv
channels_r1_reducescatter_1M_ring_ll_ch1	reducescatter	1M	ring_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_ring_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_ring_ll_ch1.csv
channels_r2_reducescatter_1M_ring_ll_ch1	reducescatter	1M	ring_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_ring_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_ring_ll_ch1.csv
channels_r3_reducescatter_1M_ring_ll_ch1	reducescatter	1M	ring_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_ring_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_ring_ll_ch1.csv
channels_r1_reducescatter_1M_ring_ll_ch2	reducescatter	1M	ring_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_ring_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_ring_ll_ch2.csv
channels_r2_reducescatter_1M_ring_ll_ch2	reducescatter	1M	ring_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_ring_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_ring_ll_ch2.csv
channels_r3_reducescatter_1M_ring_ll_ch2	reducescatter	1M	ring_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_ring_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_ring_ll_ch2.csv
channels_r1_reducescatter_1M_ring_ll_ch4	reducescatter	1M	ring_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_ring_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_ring_ll_ch4.csv
channels_r2_reducescatter_1M_ring_ll_ch4	reducescatter	1M	ring_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_ring_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_ring_ll_ch4.csv
channels_r3_reducescatter_1M_ring_ll_ch4	reducescatter	1M	ring_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_ring_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_ring_ll_ch4.csv
channels_r1_reducescatter_1M_ring_ll_ch8	reducescatter	1M	ring_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_ring_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_ring_ll_ch8.csv
channels_r2_reducescatter_1M_ring_ll_ch8	reducescatter	1M	ring_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_ring_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_ring_ll_ch8.csv
channels_r3_reducescatter_1M_ring_ll_ch8	reducescatter	1M	ring_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_ring_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_ring_ll_ch8.csv
channels_r1_reducescatter_1M_tree_simple_ch1	reducescatter	1M	tree_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_tree_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_tree_simple_ch1.csv
channels_r2_reducescatter_1M_tree_simple_ch1	reducescatter	1M	tree_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_tree_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_tree_simple_ch1.csv
channels_r3_reducescatter_1M_tree_simple_ch1	reducescatter	1M	tree_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_tree_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_tree_simple_ch1.csv
channels_r1_reducescatter_1M_tree_simple_ch2	reducescatter	1M	tree_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_tree_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_tree_simple_ch2.csv
channels_r2_reducescatter_1M_tree_simple_ch2	reducescatter	1M	tree_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_tree_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_tree_simple_ch2.csv
channels_r3_reducescatter_1M_tree_simple_ch2	reducescatter	1M	tree_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_tree_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_tree_simple_ch2.csv
channels_r1_reducescatter_1M_tree_simple_ch4	reducescatter	1M	tree_simple	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_tree_simple_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_tree_simple_ch4.csv
channels_r2_reducescatter_1M_tree_simple_ch4	reducescatter	1M	tree_simple	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_tree_simple_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_tree_simple_ch4.csv
channels_r3_reducescatter_1M_tree_simple_ch4	reducescatter	1M	tree_simple	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_tree_simple_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_tree_simple_ch4.csv
channels_r1_reducescatter_1M_tree_simple_ch8	reducescatter	1M	tree_simple	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_tree_simple_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_tree_simple_ch8.csv
channels_r2_reducescatter_1M_tree_simple_ch8	reducescatter	1M	tree_simple	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_tree_simple_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_tree_simple_ch8.csv
channels_r3_reducescatter_1M_tree_simple_ch8	reducescatter	1M	tree_simple	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_tree_simple_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_tree_simple_ch8.csv
channels_r1_reducescatter_1M_tree_ll_ch1	reducescatter	1M	tree_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_tree_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_tree_ll_ch1.csv
channels_r2_reducescatter_1M_tree_ll_ch1	reducescatter	1M	tree_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_tree_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_tree_ll_ch1.csv
channels_r3_reducescatter_1M_tree_ll_ch1	reducescatter	1M	tree_ll	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_tree_ll_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_tree_ll_ch1.csv
channels_r1_reducescatter_1M_tree_ll_ch2	reducescatter	1M	tree_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_tree_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_tree_ll_ch2.csv
channels_r2_reducescatter_1M_tree_ll_ch2	reducescatter	1M	tree_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_tree_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_tree_ll_ch2.csv
channels_r3_reducescatter_1M_tree_ll_ch2	reducescatter	1M	tree_ll	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_tree_ll_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_tree_ll_ch2.csv
channels_r1_reducescatter_1M_tree_ll_ch4	reducescatter	1M	tree_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_tree_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_tree_ll_ch4.csv
channels_r2_reducescatter_1M_tree_ll_ch4	reducescatter	1M	tree_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_tree_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_tree_ll_ch4.csv
channels_r3_reducescatter_1M_tree_ll_ch4	reducescatter	1M	tree_ll	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_tree_ll_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_tree_ll_ch4.csv
channels_r1_reducescatter_1M_tree_ll_ch8	reducescatter	1M	tree_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_1M_tree_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_1M_tree_ll_ch8.csv
channels_r2_reducescatter_1M_tree_ll_ch8	reducescatter	1M	tree_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_1M_tree_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_1M_tree_ll_ch8.csv
channels_r3_reducescatter_1M_tree_ll_ch8	reducescatter	1M	tree_ll	8	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_1M_tree_ll_ch8.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_1M_tree_ll_ch8.csv
channels_r1_reducescatter_8M_ring_simple_ch1	reducescatter	8M	ring_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_8M_ring_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_8M_ring_simple_ch1.csv
channels_r2_reducescatter_8M_ring_simple_ch1	reducescatter	8M	ring_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_8M_ring_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_8M_ring_simple_ch1.csv
channels_r3_reducescatter_8M_ring_simple_ch1	reducescatter	8M	ring_simple	1	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_8M_ring_simple_ch1.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_8M_ring_simple_ch1.csv
channels_r1_reducescatter_8M_ring_simple_ch2	reducescatter	8M	ring_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_8M_ring_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_8M_ring_simple_ch2.csv
channels_r2_reducescatter_8M_ring_simple_ch2	reducescatter	8M	ring_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r2_reducescatter_8M_ring_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r2_reducescatter_8M_ring_simple_ch2.csv
channels_r3_reducescatter_8M_ring_simple_ch2	reducescatter	8M	ring_simple	2	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r3_reducescatter_8M_ring_simple_ch2.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r3_reducescatter_8M_ring_simple_ch2.csv
channels_r1_reducescatter_8M_ring_simple_ch4	reducescatter	8M	ring_simple	4	0,1,2,3	0	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/logs/channels_r1_reducescatter_8M_ring_simple_ch4.log	/root/private_data/lyc/2ndpaper/results/k500sm_ai_gfx928_4gpu/20260825T102643Z/csv/channels_r1_reducescatter_8M_ring_simple_ch4.csv
